Date,OutPerform,Target,Predictions
2008-08-19 11:00:00,0.0008386903151662572,1,0.5518319016085542
2008-08-19 11:30:00,0.00015432045778052128,1,0.42220004628108276
2008-08-19 12:00:00,0.0016386935693740723,1,0.45026378580483173
2008-08-19 12:30:00,-0.0022083179977916423,0,0.4553639706876506
2008-08-19 13:00:00,0.0004896560166482988,1,0.5407109509804282
2008-08-20 06:30:00,-0.004086828506820517,0,0.4816246594679361
2008-08-20 07:00:00,-0.006287240498146107,0,0.5480701883963567
2008-08-20 07:30:00,-0.0004009770180655181,0,0.5878540941512496
2008-08-20 08:00:00,-0.00010582250542334748,0,0.5828151692160386
2008-08-20 08:30:00,0.005240877517592835,1,0.492557902171989
2008-08-20 09:00:00,-0.00481703647641285,0,0.48743263517681534
2008-08-20 09:30:00,0.0010581320919851311,1,0.5627847221548549
2008-08-20 10:00:00,0.0026181666019643446,1,0.5360554998392344
2008-08-20 10:30:00,0.001894398659567642,1,0.44998505359018404
2008-08-20 11:00:00,-0.0004640012815819716,0,0.46324099451315937
2008-08-20 11:30:00,0.001024557249000746,1,0.5314031851062482
2008-08-20 12:00:00,-0.005570205429977437,0,0.5697639231409508
2008-08-20 12:30:00,0.0031585873295629785,1,0.5194854413000042
2008-08-20 13:00:00,-0.008051014926518607,0,0.423955116581265
2008-08-21 06:30:00,0.0033332006429849237,1,0.5192486361739562
2008-08-21 07:00:00,-0.0049378370389805415,0,0.5424991336932403
2008-08-21 07:30:00,-0.006340418943464821,0,0.539432472539449
2008-08-21 08:00:00,0.000665868207634257,1,0.5345828848853119
2008-08-21 08:30:00,0.002332474843513621,1,0.46499821799061564
2008-08-21 09:00:00,-0.0006744889486531847,0,0.5436857731840502
2008-08-21 09:30:00,0.0009149205183962561,1,0.4924087453699849
2008-08-21 10:00:00,-0.0009158553641017697,0,0.4599734567399583
2008-08-21 10:30:00,-0.0024437927663734094,0,0.5630883651543575
2008-08-21 11:00:00,0.002626627046842467,1,0.5803297250633518
2008-08-21 11:30:00,-0.0024384296513044745,0,0.46317397597715915
2008-08-21 12:00:00,-0.004923977685780345,0,0.49185058179418806
2008-08-21 12:30:00,0.004914902668553767,1,0.5005382342782871
2008-08-21 13:00:00,0.006253035826196851,1,0.45872063405888647
2008-08-22 07:00:00,0.0016843771509464922,1,0.4428321406044101
2008-08-22 07:30:00,-0.004370155938438369,0,0.5414194565856123
2008-08-22 08:00:00,-0.0009486540969998458,0,0.5710337227632917
2008-08-22 08:30:00,0.002606326264660619,1,0.5034206683070627
2008-08-22 09:00:00,-0.006154103026430935,0,0.4807049323975323
2008-08-22 09:30:00,-0.0020996122500700487,0,0.5322853847536058
2008-08-22 10:00:00,7.224924948290301e-05,1,0.48018824392348736
2008-08-22 10:30:00,-0.0007534653148775217,0,0.49658189840639494
2008-08-22 11:00:00,0.0008297771455666458,1,0.5169833771970328
2008-08-22 11:30:00,0.00041927969238719776,1,0.45297047872492713
2008-08-22 12:00:00,-0.002623990052281422,0,0.5242847925380881
2008-08-22 12:30:00,-0.005439005439005329,0,0.535083121032317
2008-08-22 13:00:00,0.00013867465590888806,1,0.5492747453028339
2008-08-25 06:30:00,0.010377187599352244,1,0.479812973564417
2008-08-25 07:00:00,-0.010614664588329159,0,0.40206974522936645
2008-08-25 07:30:00,0.002675532216324328,1,0.5423845199819236
2008-08-25 08:00:00,-0.000834722341423455,0,0.5134888451998953
2008-08-25 08:30:00,-0.0019080712745906947,0,0.5018023313596687
2008-08-25 09:00:00,0.00519057948559043,1,0.4670508374377583
2008-08-25 09:30:00,-0.00252456483964425,0,0.5288756293858947
2008-08-25 10:00:00,0.0022947624847746706,1,0.5784408190856677
2008-08-25 10:30:00,0.0012417257041870133,1,0.4685381273936966
2008-08-25 11:00:00,0.0012135922330097637,1,0.5077875597089733
2008-08-25 11:30:00,-8.975473794081701e-06,0,0.46917768853635455
2008-08-25 12:00:00,0.0009735913350371606,1,0.4848328932981156
2008-08-25 12:30:00,0.0009745401388719932,1,0.46426992417500024
2008-08-25 13:00:00,-0.003118252940223054,0,0.47396547324720395
2008-08-26 06:30:00,0.00018821214783582008,1,0.5160810291893609
2008-08-26 07:00:00,-0.007425437072945518,0,0.4961921412685763
2008-08-26 07:30:00,0.004773455201722232,1,0.5317592119616406
2008-08-26 08:00:00,-0.0041423001949316696,0,0.48337758122405783
2008-08-26 08:30:00,-0.0008921763341570577,0,0.5387666203373336
2008-08-26 09:00:00,0.005275070481694066,1,0.5015275782168682
2008-08-26 09:30:00,-0.0027099938377350696,0,0.4635801240784296
2008-08-26 10:00:00,0.003156172717472261,1,0.5347260268201811
2008-08-26 10:30:00,0.002490350923964435,1,0.4724824695597995
2008-08-26 11:00:00,-0.004551724057078044,0,0.47866721534287726
2008-08-26 11:30:00,-0.0016933258707200194,0,0.5531566644373005
2008-08-26 12:00:00,-0.002031791644762082,0,0.5539625643615448
2008-08-26 12:30:00,-0.004845775859011914,0,0.5208241304355645
2008-08-26 13:00:00,-0.004861098530288821,0,0.5720705805354371
2008-08-27 06:30:00,0.0024291497975710286,1,0.5664444505405966
2008-08-27 07:00:00,-0.000720928697598211,0,0.5067834668754472
2008-08-27 07:30:00,0.000545399853047801,1,0.5522701867246924
2008-08-27 08:00:00,-0.007073166942431208,0,0.4985122586952579
2008-08-27 08:30:00,0.0033427616855272735,1,0.5756461320951486
2008-08-27 09:00:00,0.004802567568583882,1,0.5082269162777048
2008-08-27 09:30:00,-0.009179167774605479,0,0.45878820407081045
