Date,OutPerform,Target,Predictions
2014-04-30 09:00:00,-0.00048091201686040197,0,0.46019390810720645
2014-04-30 09:30:00,-0.001309901347522624,0,0.477081397563522
2014-04-30 10:00:00,-0.002564257643905443,0,0.48629003221990225
2014-04-30 10:30:00,0.0014572586818176747,1,0.5097312525515469
2014-04-30 11:00:00,0.00020442930153319328,1,0.46008993707012685
2014-04-30 11:30:00,-0.0005930159437710358,0,0.4944605396850612
2014-04-30 12:00:00,-0.0009610324804936177,0,0.4748915130159162
2014-04-30 12:30:00,-0.0009104775248662822,0,0.5194171197052162
2014-04-30 13:00:00,0.000567182803822508,1,0.5264652115153443
2014-05-01 06:30:00,0.0078312919462874,1,0.5443510559507849
2014-05-01 07:00:00,0.00820212292826783,1,0.47139433263205277
2014-05-01 07:30:00,0.003352751359204431,1,0.5333258749670002
2014-05-01 08:00:00,-0.0006792418236265529,0,0.4755940830954926
2014-05-01 08:30:00,-0.0002041371801850822,0,0.49005775728342504
2014-05-01 09:00:00,0.0013645649063023235,1,0.5304109705605046
2014-05-01 09:30:00,-0.0014984068782452065,0,0.464294753849729
2014-05-01 10:00:00,0.0009539733432982755,1,0.5420149801029099
2014-05-01 10:30:00,-0.00013993139883339278,0,0.503904333643701
2014-05-01 11:00:00,6.39888752862472e-05,1,0.4975213268977213
2014-05-01 11:30:00,-0.0016381704296291044,0,0.4955604930482557
2014-05-01 12:00:00,0.0020500277253032717,1,0.5276396612201565
2014-05-01 12:30:00,-0.00013761821796898221,0,0.46117705744456217
2014-05-01 13:00:00,-0.0010222970318747304,0,0.4965241196187703
2014-05-02 06:30:00,0.0012306685971295028,1,0.5107572841368168
2014-05-02 07:00:00,-0.007024948927484176,0,0.4628166529932406
2014-05-02 07:30:00,-0.0006192578920544145,0,0.505599331166081
2014-05-02 08:00:00,-0.00023954576643503422,0,0.511629068403217
2014-05-02 08:30:00,0.0024085776314682894,1,0.49090735919127576
2014-05-02 09:00:00,0.0011803648997199545,1,0.4358759216605557
2014-05-02 09:30:00,0.0007510175873195468,1,0.4704588267639023
2014-05-02 10:00:00,-0.0005466900735144886,0,0.4405744284962508
2014-05-02 10:30:00,-0.0009037002250202875,0,0.4798736326672893
2014-05-02 11:00:00,-0.0015228603839796406,0,0.49379505002448454
2014-05-02 11:30:00,0.0007646809686450151,1,0.5052165153242565
2014-05-02 12:00:00,-0.00013351306463182944,0,0.4995475808504038
2014-05-02 12:30:00,0.00027326137450467414,1,0.47999649482681134
2014-05-02 13:00:00,-0.0008930427388690321,0,0.4891239560180561
2014-05-05 06:30:00,0.004638439561198027,1,0.5226611700198668
2014-05-05 07:00:00,-0.000757985563062058,0,0.4247264966046885
2014-05-05 07:30:00,-0.0012353112112479803,0,0.4636139151603576
2014-05-05 08:00:00,0.0007087463227795077,1,0.4929518388796316
2014-05-05 08:30:00,-0.001375696324717679,0,0.5080392061714767
2014-05-05 09:00:00,0.0017966782800504788,1,0.4784369961877041
2014-05-05 09:30:00,0.003498162192812737,1,0.46318213741751985
2014-05-05 10:00:00,6.757661993694875e-05,1,0.481516438095539
2014-05-05 10:30:00,0.0017114285977513077,1,0.48842345194781606
2014-05-05 11:00:00,0.00054641030458491,1,0.4603564222419324
2014-05-05 11:30:00,0.0012964197315943338,1,0.463126024979119
2014-05-05 12:00:00,0.0010879348828485291,1,0.4746811793052154
2014-05-05 12:30:00,0.003126791771745685,1,0.49960972887175664
2014-05-05 13:00:00,-0.001756046867854022,0,0.472203548919533
2014-05-06 06:30:00,-0.00012271393117080365,0,0.5106377959239023
2014-05-06 07:00:00,-0.0006720503464971994,0,0.5190929159749573
2014-05-06 07:30:00,0.0023884353389338475,1,0.48837639161556035
2014-05-06 08:00:00,-0.0014817559741148179,0,0.4524189728563714
2014-05-06 08:30:00,0.0005406906976777037,1,0.5131619853026527
2014-05-06 09:00:00,0.0004028370535364978,1,0.4963656982044393
2014-05-06 09:30:00,0.001505781405868989,1,0.45578543480643297
2014-05-06 10:00:00,0.0006802354407378086,1,0.4659213333585634
2014-05-06 10:30:00,0.0005539208918291516,1,0.46137349635113717
2014-05-06 11:00:00,-0.0010726719450424582,0,0.4787421280233265
2014-05-06 11:30:00,6.573337872839424e-05,1,0.49757987239681595
2014-05-06 12:00:00,0.0006130632420728865,1,0.4913538204562425
2014-05-06 12:30:00,-0.0026662779532973246,0,0.5014544541295853
2014-05-06 13:00:00,-0.002321739866294359,0,0.5144526493309899
2014-05-07 06:30:00,0.002795972391311574,1,0.5400414655764169
2014-05-07 07:00:00,-0.0047581088268875416,0,0.46895872786475407
2014-05-07 07:30:00,0.0008944452700024863,1,0.5588002391019538
2014-05-07 08:00:00,0.0015076707632026842,1,0.4565074876850214
2014-05-07 08:30:00,-5.235422854132921e-06,0,0.47236461184208656
2014-05-07 09:00:00,0.005795361324483661,1,0.4706357116057623
2014-05-07 09:30:00,0.0022979938539733347,1,0.46560813779744364
2014-05-07 10:00:00,-0.0030257725505322686,0,0.4816724006300353
2014-05-07 10:30:00,-0.0010166734444895242,0,0.4921533622470961
2014-05-07 11:00:00,-0.0018225234204718443,0,0.49578734257634144
2014-05-07 11:30:00,0.002094657915864051,1,0.5151188466961509
2014-05-07 12:00:00,0.0008176710285637823,1,0.46807604245574097
2014-05-07 12:30:00,0.0019669322646566068,1,0.5129492577756861
2014-05-07 13:00:00,0.0011312894290309572,1,0.46739887612559394
2014-05-08 06:30:00,0.0028903332551759586,1,0.47820447512029696
2014-05-08 07:00:00,-0.0015917825978490896,0,0.45752930629705946
