Date,OutPerform,Target,Predictions
2017-08-21 14:00:00,0.0029811195760185492,1,0.4902761711611021
2017-08-21 14:30:00,-0.0006671114076050701,0,0.479267706544739
2017-08-21 15:00:00,0.002041510717931269,1,0.4642839139299229
2017-08-21 21:30:00,0.0037288135593220337,1,0.46410565517639135
2017-08-21 22:00:00,0.005083022704168078,1,0.4566846819816736
2017-08-21 22:30:00,-0.004043126684636119,0,0.4738997585847261
2017-08-21 23:00:00,-0.0003382949932341002,0,0.46289979569572665
2017-08-21 23:30:00,-0.0010135135135135136,0,0.4638038904407395
2017-08-22 09:30:00,-0.003089598352214212,0,0.4628377604886464
2017-08-22 10:00:00,0.0034129692832764505,1,0.4763710939070442
2017-08-22 11:00:00,0.002031832035218422,1,0.4707278959709523
2017-08-22 11:30:00,0.0003385240352064996,1,0.4701027681365727
2017-08-22 14:00:00,-0.0006738544474393531,0,0.4638125713461584
2017-08-22 14:30:00,0.0010135135135135136,1,0.46191228314648086
2017-08-22 15:00:00,0.003038487508440243,1,0.46965141599504817
2017-08-22 21:30:00,-0.0013750429700928155,0,0.4674958774629489
2017-08-22 22:00:00,0.002758620689655172,1,0.4812761122609313
2017-08-22 22:30:00,-0.0006910850034554251,0,0.4775743320364081
2017-08-22 23:00:00,-0.0031206657420249652,0,0.4722219866977872
2017-08-22 23:30:00,0.005939902166317261,1,0.47617247390361356
2017-08-23 09:30:00,-0.0006927606511950122,0,0.4880786836556145
2017-08-23 10:00:00,0.0017343045438779048,1,0.4739190618031454
2017-08-23 11:00:00,0.002445842068483578,1,0.4624429550399957
2017-08-23 11:30:00,0.004537521815008726,1,0.461483956974261
2017-08-23 14:00:00,0.0006887052341597796,1,0.4683303918620293
2017-08-23 14:30:00,0.0037748798901853123,1,0.4800830892700448
2017-08-23 15:00:00,0.0013764624913971094,1,0.4749672643805916
2017-08-23 21:30:00,-0.0006756756756756757,0,0.45621866088974555
2017-08-23 22:00:00,0.0,0,0.4941561819898631
2017-08-23 22:30:00,0.0020174848688634837,1,0.4900805751427659
2017-08-23 23:00:00,-0.0016823687752355316,0,0.47102481326455276
2017-08-23 23:30:00,-0.0006729475100942127,0,0.4714517002176347
2017-08-24 09:30:00,0.0,0,0.47794546575109564
2017-08-24 10:00:00,0.0030313236780060626,1,0.47308853178136395
2017-08-24 11:00:00,-0.0010118043844856662,0,0.48399705580745844
2017-08-24 11:30:00,0.002027027027027027,1,0.46105115009754444
2017-08-24 14:00:00,0.0023923444976076554,1,0.47469158314621107
2017-08-24 14:30:00,0.00516173434273916,1,0.47476970089869924
2017-08-24 15:00:00,0.0030508474576271187,1,0.4669786253270349
2017-08-24 21:30:00,0.001689189189189189,1,0.47751755121555084
2017-08-24 22:00:00,0.0006722689075630252,1,0.4742865830803129
2017-08-24 22:30:00,0.007023411371237458,1,0.4824342396246857
2017-08-24 23:00:00,0.003626772172766238,1,0.5263592472146142
2017-08-24 23:30:00,0.0013131976362442547,1,0.4986466380818822
2017-08-25 09:30:00,-0.0009871668311944718,0,0.4975957690770847
2017-08-25 10:00:00,0.001979544704717915,1,0.4824049210073716
2017-08-25 11:00:00,0.0006587615283267457,1,0.48434876667728693
2017-08-25 11:30:00,0.0003301419610432485,1,0.4804172042353543
2017-08-25 14:00:00,-0.0013245033112582781,0,0.47594309413562624
2017-08-25 14:30:00,-0.005298013245033113,0,0.4717414390033447
2017-08-25 15:00:00,-0.0009953550099535502,0,0.47106083096976115
2017-08-25 21:30:00,-0.005296259516716319,0,0.4676893480524786
2017-08-25 22:00:00,0.004418762746430999,1,0.4606282077336879
2017-08-25 22:30:00,0.0023704707077548256,1,0.4881194530059515
2017-08-25 23:00:00,-0.0010135135135135136,0,0.4848711669449258
2017-08-25 23:30:00,-0.0027463096464126332,0,0.46235062353453693
2017-08-28 09:30:00,-0.0013665869490946361,0,0.45901686387098145
2017-08-28 10:00:00,-0.0020597322348094747,0,0.4611495576603622
2017-08-28 11:00:00,-0.002395619438740589,0,0.4615936600291054
2017-08-28 11:30:00,-0.0010319917440660476,0,0.45557617931378447
2017-08-28 14:00:00,0.001697792869269949,1,0.455976268279628
2017-08-28 14:30:00,0.0006795786612300373,1,0.47174916390448146
2017-08-28 15:00:00,-0.0010186757215619696,0,0.4499630341099843
2017-08-28 21:30:00,-0.002027027027027027,0,0.45597802699637335
2017-08-28 22:00:00,0.00374276964954066,1,0.46198438270265035
2017-08-28 22:30:00,-0.003749147920927062,0,0.4501265790431397
2017-08-28 23:00:00,0.0020491803278688526,1,0.4590091391879777
2017-08-28 23:30:00,-0.001364256480218281,0,0.4560166064979088
2017-08-29 09:30:00,0.001389854065323141,1,0.45888950564810765
2017-08-29 10:00:00,0.0003456619426201175,1,0.4550135962031221
2017-08-29 11:00:00,0.002774887270204648,1,0.4609402218532972
2017-08-29 11:30:00,-0.003475842891901286,0,0.45456098936051076
2017-08-29 14:00:00,-0.0014219694276573053,0,0.46267954199677197
2017-08-29 14:30:00,-0.0035385704175513095,0,0.4413025125861773
2017-08-29 15:00:00,0.004654493376297888,1,0.44032622505986024
2017-08-29 21:30:00,0.0007168458781362007,1,0.42847850727847797
2017-08-29 22:00:00,-0.0010744985673352436,0,0.4391418779683501
2017-08-29 22:30:00,-0.003209700427960057,0,0.439662188617438
2017-08-29 23:00:00,0.002506265664160401,1,0.4456895916595194
2017-08-29 23:30:00,-0.0050798258345428155,0,0.4438926764852228
2017-08-30 09:30:00,0.0018175209014903672,1,0.4080809325308215
2017-08-30 10:00:00,-0.002177858439201452,0,0.42210449325377697
